#CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
EVTDESC1002;Группа либералов, рассерженная отсутствием экономической свободы, и медленным темпом парламентских реформ, сформировали новую фракцию в политике $COUNTRY_ADJ$. Либертарианцы - революционный авангард либеральной идеологии, и они пойдут на любые средства, чтобы добиться реализации идей экономической и политической свободы и в $COUNTRY$, и за границей.;X;X;X;X;X;X
EVTNAME80000;Пекинская конвенция;X;X;X;X;X;X
EVTDESC80000;Русские потребовали, чтобы мы согласились на уступку нашей законной территории. Это возмутительно, но у нас нет никакого выбора, кроме как принять их требования. Если мы это сделаем, то они должны гарантировать нашу независимость от остальных европейских держав. Кроме того, мы слишком слабы, чтобы воевать, если русские решат этот вопрос силой.;X;X;X;X;X;X
EVTOPTA80000;У нас нет выбора, подписываем соглашение.;X;X;X;X;X;X
EVTOPTB80000;Пусть русские идут к черту!;X;X;X;X;X;X
EVTNAME80001;Китай отклонил конвенцию;X;X;X;X;X;X
EVTDESC80001;Неблагодарные китайцы лучше наблюдали бы, как горят их города, чем согласятся на наши законные требования! Нам, вероятно, придется научить уму-разуму наших глупых азиатских соседей.;X;X;X;X;X;X
EVTOPTA80001;Где русский флаг уже поднят, там он не должен быть опущен никогда!;X;X;X;X;X;X
EVTNAME4430;Под давлением;X;X;X;X;X;X
EVTDESC4430;«И любовь (люди на улицах) заставляет нас изменить наше отношение к самим себе.»\n-- Queen\n\nПолитический климат в $COUNTRY$ в последнее время очень сильно ухудшился, и всё большее и большее число граждан ставит под сомнение законность и честность нашего присутствия в Верхней Палате. Верхняя Палата всё чаще и чаще рассматривается как очередное бюрократическое учреждение, тормозящее на корню всякие перемены и реформы. Народ требует пересмотра законодательства, касающегося Верхней Палаты, с целью получения более честного и равноправного представительства..;X;X;X;X;X;X
EVTOPTA4430;Безумие смеется, мы ломаемся под тяжестью стресса.;X;X;X;X;X;X
EVTOPTB4430;Почему мы не можем дать себе ещё шанс?;X;X;X;X;X;X
EVTNAME13357;Доктрина Выморочных Владений;X;X;X;X;X;X
EVTDESC13357;Британская «Доктрина Выморочных Владений» применялась в Индии для аннексии множества квазинезависимых индийских княжеств. Доктрина запрещала индийским князям назначать усыновлённых детей своими наследниками, то есть замлю мог получить только родной сын от родного отца. Также, Британская Ост-Индская компания могла аннексировать земли под предлогом дурного управления ими. Благодаря этой доктрине, Британская Ост-Индская компания смогла аннексировать Сатару, Самбалпур, Нагпур, Джханси и Авадх. Из-за нынешнего положения нашей страны, Британская Ост-Индская компания объявила наше право на княжение недействительным.;X;X;X;X;X;X
EVTOPTA13357;Только не это!!;X;X;X;X;X;X
EVTNAME13358;Доктрина Выморочных Владений;X;X;X;X;X;X
EVTDESC13358;Британская «Доктрина Выморочных Владений» применялась в Индии для аннексии множества квазинезависимых индийских княжеств. Доктрина запрещала индийским князям назначать усыновлённых детей своими наследниками, то есть замлю мог получить только родной сын от родного отца. Также, Британская Ост-Индская компания могла аннексировать земли под предлогом дурного управления ими. Благодаря этой доктрине, Британская Ост-Индская компания смогла аннексировать Сатару, Самбалпур, Нагпур, Джханси и Авадх. Эта доктрина стала последней каплей, переполнившей чашу терпения индийцев. Она привела к восстанию сипаев в 1857-1859 годах. После восстания британцы ликвидировали Ост-Индскую компанию и пересмотрели свою политику в отношении индийских феодалов. В связи с тяжёлым положением дел в $FROMCOUNTRY$, Ост-Индская компания объявила независимость этого княжества недействительной.;X;X;X;X;X;X
EVTOPTA13358;Великолепно!;X;X;X;X;X;X
EVTOPTB13358;Теперь у нас ещё больше бесполезных территорий!.;X;X;X;X;X;X
EVTNAME23300;Таинственное чудовище топит корабли!;X;X;X;X;X;X
EVTDESC23300;$YEAR$ год ознаменовался удивительным происшествием [...] Дело в том, что с некоторого времени многие корабли стали встречать в;X;X;X;X;X;X
EVTOPTA23300;Эта угроза должна быть уничтожена!;X;X;X;X;X;X
EVTOPTB23300;Звучит как пересказ сюжета какой-то детской книжки.;X;X;X;X;X;X
EVTNAME23301;Таинственное чудовище топит корабли!;X;X;X;X;X;X
EVTDESC23301;$YEAR$ год ознаменовался удивительным происшествием [...] Дело в том, что с некоторого времени многие корабли стали встречать в;X;X;X;X;X;X
EVTOPTA23301;Эта угроза должна быть уничтожена!;X;X;X;X;X;X
EVTOPTB23301;Звучит как пересказ сюжета какой-то детской книжки.;X;X;X;X;X;X
EVTNAME23302;Профессора Аронакса выбросило на берег!;X;X;X;X;X;X
EVTDESC23302;Знаменитый французский профессор и морской биолог, Пьер Аронакс был обнаружен на $COUNTRY_ADJ$ берегу. Семь месяцев назад профессор отправился в морскую экспедицию, с целью разузнать всю правду о гигантском китообразном чудовище, уничтожевшем множество кораблей. Профессор рассказал крайне интересную и поражающую воображение историю о его злоключениях. Профессор заявляет, что во время столкновения между его кораблём и таинственным чудовищем, его снесло за борт, и он оказался внутри этого самого чудовища, которое оказалось человеческим кораблём, способным плавать под водой. Аронакс заявляет, что это судно, ведомое эксцентричным и отчаянным капитаном Немо, является домом для целой общины свободолюбивых матросов, которые отреклись от человеческого общества. Неважно, является ли правдой история профессора, главное, что он оставил многочисленные и подробные отчёты и описания новых форм жизни, которые он якобы увидел под водой, и что эти отчёты займут наших учёных на долгие годы вперёд.;X;X;X;X;X;X
EVTNAME19330;$CAPITAL$ конференция;X;X;X;X;X;X
EVTDESC19330;«Я не хочу упустить шанс поучавствовать в делёжке африканского пирога.»\n- Леопольд II, бельгийский король\n\nПриготовления к международной конференции по статусу африканских колоний в $COUNTRY_ADJ$ столице идут уже достаточно давно, и сегодня $MONARCHTITLE$ готов разослать приглашения на конференцию представителям всех заинтересованных сторон. Главным вопросом конференции станет вопрос статуса Конго. Одна из держав получит исключительное право на овладение землями Конго. Второразрядные державы и державы без колониальных владений, которые, однако, претендуют на земли в Конго, получат льготы на переговорах.;X;X;X;X;X;X
EVTOPTA19330;Отлично, рассылаем приглашения!;X;X;X;X;X;X
EVTOPTB19330;Я думаю, что будет разумно ничего не проводить...;X;X;X;X;X;X
EVTNAME19335;Конференция по Конго;X;X;X;X;X;X
EVTDESC19335;$MONARCHTITLE$, $FROMCOUNTRY$ принимает крупную международную конференцию по вопросу раздела Африки между великими державами. Главная тема повестки дня - вопрос принадлежности Конго, и наиболее вероятным исходом станет то, что всё Конго отойдёт в руки одной из держав. Большинство цивилизованных стран решили послать по представителю на конференции, но может оказаться и так, что затраты на отправку делегата от нашей страны могут оказаться слишком дорогими для нашей казны.;X;X;X;X;X;X
EVTOPTA19335; не хочу упустить шанс поучавствовать в делёжке африканского пирога;X;X;X;X;X;X
EVTOPTB19335;Я не думаю, что эта конференция заслуживает нашего внимания.;X;X;X;X;X;X
EVTNAME19340;Свободное государство Конго!;X;X;X;X;X;X
EVTDESC19340;«Свободное государство Конго является уникальным в своём роде. Я ни от кого ничего не скрываю и никому ничего не должен»\n- Леопольд II, бельгийский король\n\nКонференция по Конго наконец-то пришла к решению конголезского вопроса. Конференция завершена, и «Генеральный акт» вышедший сегодня, гласит, что $COUNTRY$ получает эксклюзивное право управвлять, колонизировать и эксплуатировать богатства Конго. Свободное Государство Конго будет находится под управлением $COUNTRY$, но формально будет считаться отдельным государством. Это поможет другим державам ускорить создание торговых отношений с Конго и поможет раскрыть потенциал этой страны.;X;X;X;X;X;X
EVTOPTA19340;Хорошо.;X;X;X;X;X;X
EVTNAME70000;$STATE$ получил статус штата!;X;X;X;X;X;X
EVTNAME70001;$STATE$ получил статус штата!;X;X;X;X;X;X
EVTNAME19345;Резина из Конго!;X;X;X;X;X;X
EVTDESC19345;Плодородные земли на побережье реки Конго прекрасно подходят для выращивания каучука. Но, к сожалению, большая часть этой земли или неосвоена, или используется аборигенами для выращивания своего скудного пропитания. Большие экономические интересы нашей страны не требуют ничего большего, чем выгодного использования этих земель, но местные аборигены могут быть недовольны выращиванием каучка на их землях. Что скажете, правитель??;X;X;X;X;X;X
EVTOPTA19345;Аборигены как-нибудь протянут!;X;X;X;X;X;X
EVTOPTB19345;Мы несём цивилизацию, а не ограбление!;X;X;X;X;X;X
EVTNAME19350;Общество по проведению реформ в Конго;X;X;X;X;X;X
EVTDESC19350;Из Свободного Государства Конго приходят многочисленные сообщения о том, что $COUNTRY_ADJ$ колониальная администрация слишком жестоко эскплуатирует коренное население. Сообщения о том, что жестокое обращение с абориганеми, побои аборигенов, многочисленные убийства и даже геноцид целых народов - это обычное дело в Конго, выставляют $COUNTRY_ADJ$ колониальную политику в очень плохом свете. С целью изменить ситуацию с правами человека в Конго к лучшему, была создана международная организация - Общество по проведению реформ в Конго, в которую вошли многочисленные знаментые писатели, учёные и деятели исскуств.;X;X;X;X;X;X
EVTOPTA19350;Проклятье!;X;X;X;X;X;X
EVTNAME16451;Набег на гарнизоны;X;X;X;X;X;X
EVTDESC16451;С началом техасской войны за независимость повстанческие войска смогли атаковать несколько мексиканских гарнизонов. Это предоставило техасской армии необходимые средства.;X;X;X;X;X;X
EVTNAME70002;Должники из державы $FROMCOUNTRY$ обанкротились!;X;X;X;X;X;X
