# Custom leftover keys;x;X;X;X;X;X
dino_fake_1830_title_1;Орнитология;X;X;X;X;X;X
dino_fake_1830_1;Профессор Хитчхок обнаружил останки ископаемых птиц около реки Коннектикут в Массачусетсе. Некоторые следы указывают на то, что они были оставлены каким-то гигантским видом птиц.;X;X;X;X;X;X
dino_fake_1830_title_2;Платеозавр;X;X;X;X;X;X
dino_fake_1830_2; В честь доктора Энгельхарда, первого человека, обнаружившего останки, доктор фон Мейер назвал новую гигантскую ящерицу Plateosaurus engelhardti. Похоже, она родственна Игуанодонтам и Мегалозаврам.;X;X;X;X;X;X
dino_fake_1830_title_3;Текодонтозавр;X;X;X;X;X;X
dino_fake_1830_3;У этого удивительного ящера зубы находятся в гнездах, а не прикреплены к челюсти как у современных рептилий, говорят докторы Рили и Статчбари, обнаружившие ящерицу.;X;X;X;X;X;X
dino_fake_1830_title_4;Поэкилоплерон;X;X;X;X;X;X
dino_fake_1830_4;Доктор Эд Делонгшамп обнаружил нового ящера, у которого есть ребра, шея и конечности. Он считает, что животное родственно мегалозаврам.;X;X;X;X;X;X
dino_fake_1840_title_1;Динозавры;X;X;X;X;X;X
dino_fake_1840_1;Динозавры — название, которое профессор Оуэн предложил для новой трибы ископаемых ящеров, которая включает в себя Мегалозавров и Игуанодонтов. Они известны своим большим размером.;X;X;X;X;X;X
dino_fake_1840_title_2;Цетиозавры;X;X;X;X;X;X
dino_fake_1840_2;Была обнаружена новая морская рептилия. Профессор Оуэн назвал ее Цетиозавр, что означает 'Китовая ящерица'.;X;X;X;X;X;X
dino_fake_1840_title_3;Кардиодонт;X;X;X;X;X;X
dino_fake_1840_3;В английском графстве Уилтшир был обнаружен зуб в форме сердца. После его анализа профессор Оуэн решил дать ей имя Кардиодонт.;X;X;X;X;X;X
dino_fake_1840_title_4;Регнозавр;X;X;X;X;X;X
dino_fake_1840_4;После нахождения нескольких челюстей Игуанодонта, доктор Мантелл обнаружил свою ошибку в приписывании челюстей этому животному, и теперь он считает, что челюсти принадлежат другому виду.;X;X;X;X;X;X
dino_fake_1840_title_5;Динозавры?;X;X;X;X;X;X
dino_fake_1840_5;Биолог Ричард Оуэн создает первую скульптуру вымерших гигантских рептилий в натуральную величину, останки которых были найдены в Южной Африке и Новой Зеландии. Он называет их динозаврами.;X;X;X;X;X;X
dino_fake_1850_title_1;Динозавры в Америке;X;X;X;X;X;X
dino_fake_1850_1;Доктор Лейди обнаружил двух новых динозавров в Америке, которых он назвал Траходонт и Дейнодонт. Были также найдены и другие неизвестные ранее виды, названные Палеоскинкус и Троодон.;X;X;X;X;X;X
dino_fake_1850_title_2;Гадрозавр;X;X;X;X;X;X
dino_fake_1850_2;Похоже, этот новый динозавр близок к Игуанодонтам. Доктор Лейди считает, что это животное передвигалось в вертикальном положении на двух ногах.;X;X;X;X;X;X
dino_fake_1860_title_1;Компсогнат;X;X;X;X;X;X
dino_fake_1860_1;Был обнаружен новый вид динозавров, названный Компсогнатом. Доктор Вагнер утверждает, что эта ящерица является родственником птиц, но это еще не доказано.;X;X;X;X;X;X
dino_fake_1860_title_2;Археоптерикс;X;X;X;X;X;X
dino_fake_1860_2;Было обнаружено хорошо сохранившееся перо, и доктор фон Мейер назвал его Археоптерикс, что означает 'Древнее перо' или 'Древнее крыло'.;X;X;X;X;X;X
dino_fake_1860_3;После того, как доктор Джонстон обнаружил несколько зубов ископаемых рептилий, названных им Астродонтами, доктор Лейди дополняет название, добавляя в его честь специфический эпитет.;X;X;X;X;X;X
dino_fake_1860_title_4;Дриптозавр;X;X;X;X;X;X
